WOS ID,0
WOS:000076222200006,0
WOS:000080160200005,0
WOS:000083051400044,0
WOS:000088048400006,0
WOS:000168023500003,0
WOS:000185474400008,0
WOS:000187989900006,0
WOS:000208232800007,0
WOS:000230406000049,0
WOS:000237225800044,0
WOS:000254628000009,0
WOS:000256401200001,0
WOS:000257986200004,1
WOS:000258529700009,0
WOS:000263055400002,0
WOS:000266268000010,0
WOS:000271021900002,0
WOS:000271425900002,0
WOS:000274952800003,0
WOS:000274952800005,0
WOS:000275223300016,0
WOS:000276035000023,0
WOS:000278125500010,0
WOS:000278646000016,0
WOS:000289055700047,0
WOS:000289237700002,0
WOS:000289478100010,0
WOS:000291726600001,0
WOS:000293700000015,0
WOS:000295185300011,0
WOS:000299000400001,0
WOS:000299946200010,0
WOS:000308919400021,0
WOS:000310104100013,0
WOS:000311946400003,0
WOS:000311946400005,0
WOS:000311946400006,0
WOS:000311946400007,0
WOS:000311946400009,0
WOS:000313364500018,1
WOS:000315184800017,0
WOS:000315894800010,0
WOS:000320216000001,0
WOS:000327688800024,0
WOS:000328241100004,0
WOS:000328619300005,0
WOS:000330295100010,0
WOS:000330350700017,0
WOS:000332382300010,0
WOS:000332850900001,0
WOS:000339052000018,0
WOS:000341577800040,0
WOS:000341824100003,0
WOS:000341824100010,0
WOS:000347052300010,0
WOS:000351770200002,0
WOS:000355832200008,0
WOS:000357981200024,0
WOS:000359917000022,0
WOS:000360312400003,0
WOS:000363928900001,0
WOS:000369366100023,0
WOS:000371304600028,0
WOS:000373874100001,0
WOS:000383954700007,0
WOS:000386489200020,0
WOS:000387763200014,0
WOS:000390025100009,0
WOS:000392724100005,0
WOS:000394985200001,0
WOS:000396681800019,0
WOS:000397924000004,0
WOS:000398545200003,1
WOS:000399262200005,0
WOS:000400852600001,0
WOS:000401126600016,0
WOS:000401256200005,1
WOS:000403070700016,0
WOS:000403565000008,0
WOS:000403565000009,0
WOS:000405955900005,0
WOS:000408287100003,0
WOS:000411478000005,1
WOS:000413176500005,0
WOS:000414873600012,0
WOS:000415995200008,0
WOS:000417567000012,1
WOS:000418002000021,0
WOS:000426003200012,0
WOS:000432188600021,0
WOS:000444262900009,0
WOS:000446715000007,0
WOS:000451560500001,0
WOS:000451913200003,0
WOS:000457829800003,0
WOS:000459328300020,0
WOS:000460597200012,0
WOS:000462548600009,1
WOS:000465089500013,0
WOS:000474031600001,0
WOS:000476843500005,0
WOS:000477738300021,0
WOS:000480580300002,0
WOS:000480580300019,0
WOS:000481263500001,0
WOS:000482092600002,0
WOS:000485326600012,0
WOS:000489735000025,0
WOS:000490183000042,0
WOS:000501450200021,1
WOS:000508259300012,0
WOS:000508668100011,0
WOS:000514161100023,0
WOS:000514602500017,0
WOS:000517359900002,0
WOS:000519584000013,0
WOS:000531366700078,0
WOS:000536643600001,0
WOS:000540204000001,0
WOS:000542276700110,1
WOS:000543670500001,0
WOS:000548924000018,0
WOS:000548924000020,0
WOS:000558086300006,0
WOS:000560426700009,0
WOS:000568729100019,0
WOS:000570035500065,0
WOS:000578521400020,0
WOS:000588409100001,0
WOS:000589653800010,0
WOS:000593097700002,0
WOS:000607184700001,0
WOS:000620631500010,0
WOS:000631203600002,0
WOS:000631660800001,1
WOS:000640009200001,0
WOS:000645595600001,0
WOS:000647857800001,0
WOS:000648661800001,0
WOS:000659203900001,0
WOS:000661273900001,0
WOS:000678882800001,0
WOS:000691116100001,0
WOS:000696397800001,1
WOS:000702428100006,0
WOS:000718005200001,0
WOS:000727661300003,0
WOS:000732504700001,0
WOS:000745651600004,0
WOS:000772992100001,0
WOS:000778851900001,0
WOS:000782881500001,1
WOS:000798109000001,0
WOS:000806360700012,0
WOS:000811117800001,0
WOS:000814416500005,0
WOS:000815856600001,0
WOS:000831271000001,0
WOS:000885940200002,0
WOS:000896737400014,0
WOS:000906501400008,0
WOS:000923778100001,0
WOS:000931973700020,0
WOS:000937944800001,0
WOS:000960177300001,0
WOS:000976111900001,0
WOS:000997505000005,0
WOS:001008873600001,1
WOS:001009542200001,0
WOS:001021687300012,1
WOS:001022566100001,1
WOS:001023684600001,0
WOS:001031361400001,0
WOS:001037177400001,0
WOS:001042057200001,0
WOS:001050842200008,0
WOS:001077553900001,0
WOS:001080561000001,0
WOS:001083750500001,0
WOS:001090419200001,1
WOS:001104480200004,0
WOS:001112909900001,0
WOS:001113603300001,0
WOS:001119302300001,0
WOS:001132859000001,0
WOS:001138406800001,0
WOS:001145889800001,1
WOS:001161940700011,0
WOS:001184175000001,0
WOS:001185684800001,1
WOS:001251024000001,0
WOS:001269295200001,0
WOS:001273172200001,0
WOS:001278868200001,0
WOS:001280879900002,0
WOS:001282590900001,0
WOS:001292216600001,0
WOS:001318304700003,0
WOS:001338806000001,0
WOS:001340574400001,0
WOS:001369914100001,0
WOS:001378128800002,0
WOS:001413930700001,0
WOS:001452432900001,0
WOS:001463166400001,0
WOS:001476234400001,0
WOS:001521094200001,0
WOS:001570676700001,0
WOS:001600430200001,0
WOS:001618161700001,0
WOS:A19668953900007,0
WOS:A1977CX98200009,0
WOS:A1979GP21900034,0
WOS:A1982NE94800004,0
WOS:A1983RH54800009,0
WOS:A1985ABE2100003,0
WOS:A1989CE15000013,0
WOS:A1989CE43100004,0
WOS:A1991HE78400003,0
WOS:A1993BX50K00014,0
WOS:A1995RH53700014,0
WOS:A1995RH53700018,1
WOS:A1996TX89100038,0
WOS:A1997WG30300023,0
WOS:A1997XH03400070,0
WOS:A1997YD50600065,0
