Authors,Article Title,Publication Year,DOI,WOS ID,
"Blechschmidt, J; Wittmann, MJ; Blüml, C",Climate Change and Green Sea Turtle Sex Ratio-Preventing Possible Extinction,2020,10.3390/genes11050588,WOS:000542276700110,
"Northfield, TD; Ives, AR",Coevolution and the Effects of Climate Change on Interacting Species,2013,10.1371/journal.pbio.1001685,WOS:000330350700017,
"Nuismer, SL; Week, B; Aizen, MA",Coevolution Slows the Disassembly of Mutualistic Networks,2018,10.1086/699218,WOS:000444262900009,
"Yacine, Y; Allhoff, KT; Weinbach, A; Loeuille, N",Collapse and rescue of evolutionary food webs under global warming,2021,10.1111/1365-2656.13405,WOS:000607184700001,
"Gralka, M; Fusco, D; Martis, S; Hallatschek, O",Convection shapes the trade-off between antibiotic efficacy and the selection for resistance in spatial gradients,2017,10.1088/1478-3975/aa7bb3,WOS:000406013100002,
"Henriques, GJB; Osmond, MM",Cooperation can promote rescue or lead to evolutionary suicide during environmental change,2020,10.1111/evo.14028,WOS:000540204000001,
"Hobbelen, PHF; Paveley, ND; van den Bosch, F",Delaying Selection for Fungicide Insensitivity by Mixing Fungicides at a Low and High Risk of Resistance Development: A Modeling Analysis,2011,10.1094/PHYTO-10-10-0290,WOS:000295185300011,
"Gomulkiewicz, R; Houle, D",Demographic and Genetic Constraints on Evolution,2009,10.1086/645086,WOS:000271425900002,
"Stoltz, SS; Griswold, CK; Husband, BC",Demographic and genetic factors affect the use of translocation for evolutionary rescue: A case study of American chestnut using simulation,2026,10.1111/1365-2664.70326,WOS:001720340100001,
"Draghi, JA; McGlothlin, JW; Kindsvater, HK",Demographic feedbacks during evolutionary rescue can slow or speed adaptive evolution,2024,10.1098/rspb.2023.1553,WOS:001161940700011,
"Reed, TE; Gienapp, P; Visser, ME",Density dependence and microevolution interactively determine effects of phenology mismatch on population dynamics,2015,10.1111/oik.01398,WOS:000347052300010,
"Helps, JC; Paveley, ND; White, S; van den Bosch, F",Determinants of optimal insecticide resistance management strategies,2020,10.1016/j.jtbi.2020.110383,WOS:000558086300006,
"COMINS, HN",DEVELOPMENT OF INSECTICIDE RESISTANCE IN PRESENCE OF MIGRATION,1977,10.1016/0022-5193(77)90119-9,WOS:A1977CX98200009,
"Riederer, JM; Weissing, FJ",Do alternative reproductive tactics facilitate evolutionary rescue? A comment on Knell & Parrett 2024,2026,10.1093/evlett/qraf049,WOS:001651395900001,
"Day, T; Read, AF",Does High-Dose Antimicrobial Chemotherapy Prevent the Evolution of Resistance?,2016,10.1371/journal.pcbi.1004689,WOS:000369366100023,
"Cheptou, PO",Does the evolution of self-fertilization rescue populations or increase the risk of extinction?,2019,10.1093/aob/mcy144,WOS:000462548600009,
"Muralidhar, P; Veller, C",Dominance shifts increase the likelihood of soft selective sweeps,2022,10.1111/evo.14459,WOS:000778851900001,
"Kepler, TB; Perelson, AS",Drug concentration heterogeneity facilitates the evolution of drug resistance,1998,10.1073/pnas.95.20.11514,WOS:000076222200006,
"Delaney, O; Brown, CRP; Letten, AD; Engelstäder, J",Drug mode of action and resource constraints modulate antimicrobial resistance evolution,2026,10.1016/j.jtbi.2025.112316,WOS:001629503400001,
"Komarova, NL; Wodarz, D",Drug resistance in cancer: Principles of emergence and prevention,2005,10.1073/pnas.0501870102,WOS:000230406000049,
"Kuosmanen, T; Cairns, J; Noble, R; Beerenwinkel, N; Mononen, T; Mustonen, V",Drug-induced resistance evolution necessitates less aggressive treatment,2021,10.1371/journal.pcbi.1009418,WOS:000702428100006,
"Wu, Y; Saddler, CA; Valckenborgh, F; Tanaka, MM",Dynamics of evolutionary rescue in changing environments and the emergence of antibiotic resistance,2014,10.1016/j.jtbi.2013.09.026,WOS:000327688800024,
"Weyerer, F; Weinbach, A; Zarfl, C; Allhoff, KT",Eco-evolutionary dynamics in two-species mutualistic systems: one-sided population decline triggers joint interaction disinvestment,2023,10.1007/s10682-023-10264-2,WOS:001080561000001,
"Patel, S; Lyberger, K; Vegvari, C; Gulbudak, H",Eco-evolutionary dynamics of anthelmintic resistance in soil-transmitted helminths,2025,10.1016/j.tpb.2025.03.006,WOS:001476234400001,
"Eriksson, M; Pontarp, M",Eco-Evolutionary Dynamics of Generalist and Specialist Pollinators Facing Plant Diversity Changes,2026,10.1002/ece3.73182,WOS:001703847700001,
"Henry, RC; Bocedi, G; Travis, JMJ",Eco-evolutionary dynamics of range shifts: Elastic margins and critical thresholds,2013,10.1016/j.jtbi.2012.12.004,WOS:000320216000001,
"Ferriere, R; Legendre, S","Eco-evolutionary feedbacks, adaptive dynamics and evolutionary rescue theory",2013,10.1098/rstb.2012.0081,WOS:000311946400003,
"DiRenzo, GV; Zipkin, EF; Grant, EHC; Royle, JA; Longo, AV; Zamudio, KR; Lips, KR",Eco-evolutionary rescue promotes host-pathogen coexistence,2018,10.1002/eap.1792,WOS:000451913200003,
"Norberg, J; Urban, MC; Vellend, M; Klausmeier, CA; Loeuille, N",Eco-evolutionary responses of biodiversity to climate change,2012,10.1038/NCLIMATE1588,WOS:000310104100013,
"Klausmeier, CA; Osmond, MM; Kremer, CT; Litchman, E",Ecological limits to evolutionary rescue,2020,10.1098/rstb.2019.0453,WOS:000589653800010,
"DeLong, JP; Belmaker, J",Ecological pleiotropy and indirect effects alter the potential for evolutionary rescue,2019,10.1111/eva.12745,WOS:000459328300020,
"Pillai, P; Gouhier, TC; Vollmer, SV",Ecological rescue of host-microbial systems under environmental change,2017,10.1007/s12080-016-0310-3,WOS:000397924000004,
"Godineau, C; Theodorou, K; Spigler, RB",Effect of the Seed Bank on Evolutionary Rescue in Small Populations: Univariate and Multivariate Demogenetic Dynamics,2024,10.1086/731402,WOS:001269295200001,
"Kippnich, J; Benz, F; Uecker, H; Baumdicker, F",Effectiveness of CRISPR-Cas in sensitizing bacterial populations with plasmid-encoded antimicrobial resistance,2025,10.1093/genetics/iyaf192,WOS:001600430200001,
"Orive, ME; Barfield, M; Fernandez, C; Holt, RD",Effects of Clonal Reproduction on Evolutionary Lag and Evolutionary Rescue,2017,10.1086/693006,WOS:000411478000005,
"Foo, J; Chmielecki, J; Pao, W; Michor, F",Effects of Pharmacokinetic Processes and Varied Dosing Schedules on the Dynamics of Acquired Resistance to Erlotinib in EGFR-Mutant Lung Cancer,2012,10.1097/JTO.0b013e31826146ee,WOS:000308919400021,
"McDonough, Y; Connallon, T",Effects of population size change on the genetics of adaptation following an abrupt change in environment,2023,10.1093/evolut/qpad103,WOS:001008145100001,
"Mikaberidze, A; Paveley, N; Bonhoeffer, S; van den Bosch, F",Emergence of Resistance to Fungicides: The Role of Fungicide Dose,2017,10.1094/PHYTO-08-16-0297-R,WOS:000399262200005,
"Peniston, JH; Barfield, M; Gonzalez, A; Holt, RD",Environmental fluctuations can promote evolutionary rescue in high-extinction-risk scenarios,2020,10.1098/rspb.2020.1144,WOS:000560426700009,
"Peniston, JH; Barfield, M; Holt, RD; Orive, ME",Environmental fluctuations dampen the effects of clonal reproduction on evolutionary rescue,2021,10.1111/jeb.13778,WOS:000631660800001,
"Gatenby, RA; Artzy-Randrup, Y; Epstein, T; Reed, DR; Brown, JS",Eradicating Metastatic Cancer and the Eco-Evolutionary Dynamics of Anthropocene Extinctions,2020,10.1158/0008-5472.CAN-19-1941,WOS:000514161100023,
"Bonhoeffer, S; Lipsitch, M; Levin, BR",Evaluating treatment protocols to prevent antibiotic resistance,1997,10.1073/pnas.94.22.12106,WOS:A1997YD50600065,
"McManus, LC; Forrest, DL; Tekwa, E; Schindler, DE; Colton, MA; Webster, MM; Essington, TE; Palumbi, SR; Mumby, PJ; Pinsky, ML","Evolution and connectivity influence the persistence and recovery of coral reefs under climate change in the Caribbean, Southwest Pacific, and Coral Triangle",2021,10.1111/gcb.15725,WOS:000659203900001,
"BURGER, R; LYNCH, M",EVOLUTION AND EXTINCTION IN A CHANGING ENVIRONMENT - A QUANTITATIVE-GENETIC ANALYSIS,1995,10.2307/2410301,WOS:A1995RH53700014,
"LYNCH, M; LANDE, R",EVOLUTION AND EXTINCTION IN RESPONSE TO ENVIRONMENTAL-CHANGE,1993,WOS:A1993BX50K00014,WOS:A1993BX50K00014,"Note: add this DOI in .bib file (49 papers, some under Lynch M, 1993 and other Lynch M., 1993)
Cited-References = {}"
"Barfield, M; Holt, RD; Gomulkiewicz, R",Evolution in Stage-Structured Populations,2011,10.1086/658903,WOS:000289237700002,
"Finand, B; Monnin, T; Loeuille, N",Evolution of dispersal and the maintenance of fragmented metapopulations,2024,10.1111/oik.10490,WOS:001112909900001,
"Bürger, R",Evolution of genetic variability and the advantage of sex and recombination in changing environments,1999,10.1093/genetics/153.2.1055,WOS:000083051400044,Note: add this DOI in .bib file (11 papers)
"Heino, M; Hanski, I",Evolution of migration rate in a spatially realistic metapopulation model,2001,10.1086/319927,WOS:000168023500003,
"Iwasa, Y; Nowak, MA; Michor, F",Evolution of resistance during clonal expansion,2006,10.1534/genetics.105.049791,WOS:000237225800044,
"Polechová, J",Evolution of species' range and niche in changing environments,2026,10.1073/pnas.2604510123,WOS:001776016200009,
"Patel, S; Schreiber, SJ",Evolutionarily Driven Shifts in Communities with Intraguild Predation,2015,10.1086/683170,WOS:000363928900001,
"Kovach-Orr, C; Fussmann, GF",Evolutionary and plastic rescue in multitrophic model communities,2013,10.1098/rstb.2012.0084,WOS:000311946400006,
"Knight, TM; Barfield, M; Holt, RD",Evolutionary dynamics as a component of stage-structured matrix models:: An example using Trillium grandiflorum,2008,10.1086/589898,WOS:000258529700009,
"Bozic, I; Reiter, JG; Allen, B; Antal, T; Chatterjee, K; Shah, P; Moon, YS; Yaqubie, A; Kelly, N; Le, DT; Lipson, EJ; Chapman, PB; Diaz, LA; Vogelstein, B; Nowak, MA",Evolutionary dynamics of cancer in response to targeted combination therapy,2013,10.7554/eLife.00747,WOS:000328619300005,
"Iwasa, Y; Michor, F; Nowak, MA",Evolutionary dynamics of escape from biomedical intervention,2003,10.1098/rspb.2003.2539,WOS:000187989900006,
"Iwasa, Y; Michor, F; Nowak, MA",Evolutionary dynamics of invasion and escape,2004,10.1016/j.jtbi.2003.08.014,WOS:000187199000008,
