Authors,Article Title,Source Title,Document Type,Cited Reference Count,"Times Cited, WoS Core",Publication Year,DOI,DOI Link,WOS ID
"Carja, O; Plotkin, JB",Evolutionary Rescue Through Partly Heritable Phenotypic Variability,GENETICS,Article,46,22,2019,10.1534/genetics.118.301758,http://dx.doi.org/10.1534/genetics.118.301758,WOS:000460597200012
"Xu, KY; Vision, TJ; Servedio, MR",Evolutionary rescue under demographic and environmental stochasticity,JOURNAL OF EVOLUTIONARY BIOLOGY,Article,57,4,2023,10.1111/jeb.14224,http://dx.doi.org/10.1111/jeb.14224,WOS:001119302300001
"Longcamp, A; Draghi, J",Evolutionary rescue via niche construction: Infrequent construction can prevent post-invasion extinction,THEORETICAL POPULATION BIOLOGY,Article,50,4,2023,10.1016/j.tpb.2023.06.002,http://dx.doi.org/10.1016/j.tpb.2023.06.002,WOS:001037177400001
"Mellard, JP; de Mazancourt, C; Loreau, M",Evolutionary responses to environmental change: trophic interactions affect adaptation and persistence,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Article,56,17,2015,10.1098/rspb.2014.1351,http://dx.doi.org/10.1098/rspb.2014.1351,WOS:000351770200002
"Vinton, AC; Vasseur, DA",Evolutionary tracking is determined by differential selection on demographic rates and density dependence,ECOLOGY AND EVOLUTION,Article,69,8,2020,10.1002/ece3.6311,http://dx.doi.org/10.1002/ece3.6311,WOS:000536643600001
"Flynn, KJ; Skibinski, DOF",Exploring evolution of maximum growth rates in plankton,JOURNAL OF PLANKTON RESEARCH,Article,66,12,2020,10.1093/plankt/fbaa038,http://dx.doi.org/10.1093/plankt/fbaa038,WOS:000593097700002
"Engen, S; Sæther, BE",Extinction Risk and Lack of Evolutionary Rescue under Resource Depletion or Area Reduction,AMERICAN NATURALIST,Article,75,6,2017,10.1086/692011,http://dx.doi.org/10.1086/692011,WOS:000403565000008
"Matuszewski, S; Hermisson, J; Kopp, M",FISHER'S GEOMETRIC MODEL WITH A MOVING OPTIMUM,EVOLUTION,Article,107,63,2014,10.1111/evo.12465,http://dx.doi.org/10.1111/evo.12465,WOS:000341824100010
"Chevin, LM",GENETIC CONSTRAINTS ON ADAPTATION TO A CHANGING ENVIRONMENT,EVOLUTION,Article,94,95,2013,10.1111/j.1558-5646.2012.01809.x,http://dx.doi.org/10.1111/j.1558-5646.2012.01809.x,WOS:000315894800010
"Osmond, MM; Otto, SP; Martin, G",Genetic Paths to Evolutionary Rescue and the Distribution of Fitness Effects Along Them,GENETICS,Article,65,20,2020,10.1534/genetics.119.302890,http://dx.doi.org/10.1534/genetics.119.302890,WOS:000514602500017
"Osmond, MM; Coop, G",Genetic Signatures of Evolutionary Rescue by a Selective Sweep,GENETICS,Article,74,10,2020,10.1534/genetics.120.303173,http://dx.doi.org/10.1534/genetics.120.303173,WOS:000548924000018
"Gomulkiewicz, R; Holt, RD; Barfield, M; Nuismer, SL","Genetics, adaptation, and invasion in harsh environments",EVOLUTIONARY APPLICATIONS,Article,26,93,2010,10.1111/j.1752-4571.2009.00117.x,http://dx.doi.org/10.1111/j.1752-4571.2009.00117.x,WOS:000274952800003
"Bay, RA; Rose, NH; Logan, CA; Palumbi, SR",Genomic models predict successful coral adaptation if future ocean warming rates are reduced,SCIENCE ADVANCES,Article,49,160,2017,10.1126/sciadv.1701413,http://dx.doi.org/10.1126/sciadv.1701413,WOS:000418002000021
"Ge, XZ; Newman, JA; Griswold, CK",Geographic variation in evolutionary rescue under climate change in a crop pest-predator system,EVOLUTIONARY APPLICATIONS,Article,58,1,2024,10.1111/eva.13750,http://dx.doi.org/10.1111/eva.13750,WOS:001273172200001
"Mohammadi, A; Campos, PRA",Geometric Insights into evolutionary rescue dynamics in a two-deme model,EVOLUTION,Article,77,2,2025,10.1093/evolut/qpaf021,http://dx.doi.org/10.1093/evolut/qpaf021,WOS:001452432900001
"Marshall, DJ; Burgess, SC; Connallon, T","Global change, life-history complexity and the potential for evolutionary rescue",EVOLUTIONARY APPLICATIONS,Article,55,33,2016,10.1111/eva.12396,http://dx.doi.org/10.1111/eva.12396,WOS:000387763200014
"Wahl, LM; Tanaka, MM",Hazardous Loss of Genetic Diversity through Selective Sweeps in Asexual Populations,AMERICAN NATURALIST,Article,82,4,2022,10.1086/717813,http://dx.doi.org/10.1086/717813,WOS:000745651600004
"Diggle, AJ; Neve, PB; Smith, FP",Herbicides used in combination can reduce the probability of herbicide resistance in finite weed populations,WEED RESEARCH,Article,24,157,2003,10.1046/j.1365-3180.2003.00355.x,http://dx.doi.org/10.1046/j.1365-3180.2003.00355.x,WOS:000185474400008
"van Velzen, E",High importance of indirect evolutionary rescue in a small food web,ECOLOGY LETTERS,Article,63,8,2023,10.1111/ele.14321,http://dx.doi.org/10.1111/ele.14321,WOS:001077553900001
"Golas, BD; Goodell, B; Webb, CT",Host adaptation to novel pathogen introduction: Predicting conditions that promote evolutionary rescue,ECOLOGY LETTERS,Article,94,9,2021,10.1111/ele.13845,http://dx.doi.org/10.1111/ele.13845,WOS:000678882800001
"Cortez, MH; Yamamichi, M",How (co)evolution alters predator responses to increased mortality: extinction thresholds and hydra effects,ECOLOGY,Article,64,12,2019,10.1002/ecy.2789,http://dx.doi.org/10.1002/ecy.2789,WOS:000481263500001
"Osmond, MM; de Mazancourt, C",How competition affects evolutionary rescue,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Article,73,94,2013,10.1098/rstb.2012.0085,http://dx.doi.org/10.1098/rstb.2012.0085,WOS:000311946400007
"Colijn, C; Cohen, T",How competition governs whether moderate or aggressive treatment minimizes antibiotic resistance,ELIFE,Article,46,34,2015,10.7554/eLife.10559,http://dx.doi.org/10.7554/eLife.10559,WOS:000373874100001
"Nordstrom, SW; Hufbauer, RA; Olazcuaga, L; Durkee, LF; Melbourne, BA","How density dependence, genetic erosion and the extinction vortex impact evolutionary rescue",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Article,55,9,2023,10.1098/rspb.2023.1228,http://dx.doi.org/10.1098/rspb.2023.1228,WOS:001184175000001
"Duputié, A; Massol, F; Chuine, I; Kirkpatrick, M; Ronce, O",How do genetic correlations affect species range shifts in a changing environment?,ECOLOGY LETTERS,Article,50,87,2012,10.1111/j.1461-0248.2011.01734.x,http://dx.doi.org/10.1111/j.1461-0248.2011.01734.x,WOS:000299946200010
"Morita, K; Yamamichi, M",How does the magnitude of genetic variation affect ecological and reproductive character displacement?,POPULATION ECOLOGY,Article,68,4,2023,10.1002/1438-390X.12097,http://dx.doi.org/10.1002/1438-390X.12097,WOS:000691116100001
"Svensson, EI; Connallon, T","How frequency-dependent selection affects population fitness, maladaptation and evolutionary rescue",EVOLUTIONARY APPLICATIONS,Review,119,44,2019,10.1111/eva.12714,http://dx.doi.org/10.1111/eva.12714,WOS:000480580300002
"Kelly, E; Phillips, B",How many and when? Optimising targeted gene flow for a step change in the environment,ECOLOGY LETTERS,Article,43,20,2019,10.1111/ele.13201,http://dx.doi.org/10.1111/ele.13201,WOS:000457829800003
"Moreno-Gamez, S; Hill, AL; Rosenbloom, DIS; Petrov, DA; Nowak, MA; Pennings, PS",Imperfect drug penetration leads to spatial monotherapy and rapid evolution of multidrug resistance,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,Article,74,101,2015,10.1073/pnas.1424184112,http://dx.doi.org/10.1073/pnas.1424184112,WOS:000355832200008
"Walters, RJ; Berger, D",Implications of existing local (mal)adaptations for ecological forecasting under environmental change,EVOLUTIONARY APPLICATIONS,Article,125,13,2019,10.1111/eva.12840,http://dx.doi.org/10.1111/eva.12840,WOS:000480580300019
"Bush, A; Mokany, K; Catullo, R; Hoffmann, A; Kellermann, V; Sgrò, C; McEvey, S; Ferrier, S",Incorporating evolutionary adaptation in species distribution modelling reduces projected vulnerability to climate change,ECOLOGY LETTERS,Article,80,206,2016,10.1111/ele.12696,http://dx.doi.org/10.1111/ele.12696,WOS:000390025100009
"Kuparinen, A; Savolainen, O; Schurr, FM",Increased mortality can promote evolutionary adaptation of forest trees to climate change,FOREST ECOLOGY AND MANAGEMENT,Article,40,137,2010,10.1016/j.foreco.2009.12.006,http://dx.doi.org/10.1016/j.foreco.2009.12.006,WOS:000275223300016
"SHAW, MW",INDEPENDENT ACTION OF FUNGICIDES AND ITS CONSEQUENCES FOR STRATEGIES TO RETARD THE EVOLUTION OF FUNGICIDE RESISTANCE,CROP PROTECTION,Article,15,18,1989,10.1016/0261-2194(89)90065-3,http://dx.doi.org/10.1016/0261-2194(89)90065-3,WOS:A1989CE43100004
"Yamamichi, M; Miner, BE","Indirect evolutionary rescue: prey adapts, predator avoids extinction",EVOLUTIONARY APPLICATIONS,Article,50,36,2015,10.1111/eva.12295,http://dx.doi.org/10.1111/eva.12295,WOS:000360312400003
"Baskett, ML; Gomulkiewicz, R",Introgressive hybridization as a mechanism for species rescue,THEORETICAL ECOLOGY,Article,68,54,2011,10.1007/s12080-011-0118-0,http://dx.doi.org/10.1007/s12080-011-0118-0,WOS:000289478100010
"Lyberger, KP; Osmond, MM; Schreiber, SJ",Is Evolution in Response to Extreme Events Good for Population Persistence?,AMERICAN NATURALIST,Article,41,8,2021,10.1086/714419,http://dx.doi.org/10.1086/714419,WOS:000648661800001
"Jensen, AJ; Hagen, IJ; Czorlich, Y; Bolstad, GH; Bremset, G; Finstad, B; Hindar, K; Skaala, O; Karlsson, S",Large-effect loci mediate rapid adaptation of salmon body size after river regulation,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,Article,55,18,2022,10.1073/pnas.2207634119,http://dx.doi.org/10.1073/pnas.2207634119,WOS:000896737400014
"Condie, SA; Anthony, KRN; Babcock, RC; Baird, ME; Beeden, R; Fletcher, CS; Gorton, R; Harrison, D; Hobday, AJ; Plagányi, ÉE; Westcott, DA",Large-scale interventions may delay decline of the Great Barrier Reef,ROYAL SOCIETY OPEN SCIENCE,Article,127,65,2021,10.1098/rsos.201296,http://dx.doi.org/10.1098/rsos.201296,WOS:000645595600001
"Schiffers, K; Bourne, EC; Lavergne, S; Thuiller, W; Travis, JMJ",Limited evolutionary rescue of locally adapted populations facing climate change,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Article,64,134,2013,10.1098/rstb.2012.0083,http://dx.doi.org/10.1098/rstb.2012.0083,WOS:000311946400005
"Geoffroy, F; Uecker, H",Limits to evolutionary rescue by conjugative plasmids,THEORETICAL POPULATION BIOLOGY,Article,69,3,2023,10.1016/j.tpb.2023.10.001,http://dx.doi.org/10.1016/j.tpb.2023.10.001,WOS:001113603300001
"Cotto, O; Ronce, O",MALADAPTATION AS A SOURCE OF SENESCENCE IN HABITATS VARIABLE IN SPACE AND TIME,EVOLUTION,Article,54,26,2014,10.1111/evo.12462,http://dx.doi.org/10.1111/evo.12462,WOS:000341824100003
"Cotto, O; Sandell, L; Chevin, LM; Ronce, O",Maladaptive Shifts in Life History in a Changing Environment*,AMERICAN NATURALIST,Article,58,37,2019,10.1086/702716,http://dx.doi.org/10.1086/702716,WOS:000485326600012
"Gomez-Llano, M; Faria, GS; Garcia-Roa, R; Noble, DWA; Carazo, P","Male harm suppresses female fitness, affecting the dynamics of adaptation and evolutionary rescue",EVOLUTION LETTERS,Letter,68,15,2024,10.1093/evlett/qrac002,http://dx.doi.org/10.1093/evlett/qrac002,WOS:001145889800001
"Walsworth, TE; Schindler, DE; Colton, MA; Webster, MS; Palumbi, SR; Mumby, PJ; Essington, TE; Pinsky, ML",Management for network diversity speeds evolutionary adaptation to climate change,NATURE CLIMATE CHANGE,Article,52,74,2019,10.1038/s41558-019-0518-5,http://dx.doi.org/10.1038/s41558-019-0518-5,WOS:000477738300021
"Trubenova, B; Roizman, D; Rolff, J; Regoes, RR",Modeling Polygenic Antibiotic Resistance Evolution in Biofilms,FRONTIERS IN MICROBIOLOGY,Article,59,8,2022,10.3389/fmicb.2022.916035,http://dx.doi.org/10.3389/fmicb.2022.916035,WOS:000831271000001
"Boeye, J; Travis, JMJ; Stoks, R; Bonte, D",More rapid climate change promotes evolutionary rescue through selection for increased dispersal distance,EVOLUTIONARY APPLICATIONS,Article,63,50,2013,10.1111/eva.12004,http://dx.doi.org/10.1111/eva.12004,WOS:000315184800017
"Bagawade, R; van Benthem, KJ; Wittmann, MJ",Multi-scale effects of habitat loss and the role of trait evolution,ECOLOGY AND EVOLUTION,Article,68,1,2024,10.1002/ece3.10799,http://dx.doi.org/10.1002/ece3.10799,WOS:001138406800001
"Igler, C; Rolff, J; Regoes, R","Multi-step vs. single-step resistance evolution under different drugs, pharmacokinetics, and treatment regimens",ELIFE,Article,66,42,2021,10.7554/eLife.64116,http://dx.doi.org/10.7554/eLife.64116,WOS:000661273900001
"Uecker, H; Hermisson, J",On the Fixation Process of a Beneficial Mutation in a Variable Environment,GENETICS,Article,48,104,2011,10.1534/genetics.110.124297,http://dx.doi.org/10.1534/genetics.110.124297,WOS:000293700000015
"Delaney, O; Letten, AD; Engelstaedter, J",Optimal antimicrobial dosing combinations when drug-resistance mutation rates differ,EVOLUTION,Article,63,1,2025,10.1093/evolut/qpaf123,http://dx.doi.org/10.1093/evolut/qpaf123,WOS:001521094200001
"Ashander, J; Thompson, LC; Sanchirico, JN; Baskett, ML",Optimal investment to enable evolutionary rescue,THEORETICAL ECOLOGY,Article,55,4,2019,10.1007/s12080-019-0413-8,http://dx.doi.org/10.1007/s12080-019-0413-8,WOS:000476843500005
"Sudo, M; Takahashi, D; Andow, DA; Suzuki, Y; Yamanaka, T",Optimal management strategy of insecticide resistance under various insect life histories: Heterogeneous timing of selection and interpatch dispersal,EVOLUTIONARY APPLICATIONS,Article,59,68,2018,10.1111/eva.12550,http://dx.doi.org/10.1111/eva.12550,WOS:000426003200012
"Taylor, NP; Cunniffe, NJ",Optimal Resistance Management for Mixtures of High-Risk Fungicides: Robustness to the Initial Frequency of Resistance and Pathogen Sexual Reproduction,PHYTOPATHOLOGY,Article,75,11,2023,10.1094/PHYTO-02-22-0050-R,http://dx.doi.org/10.1094/PHYTO-02-22-0050-R,WOS:000937944800001
"Smart, AS; Phillips, BL",Optimizing targeted gene flow to maximize local genetic diversity: when and how to act under various scenarios of environmental change,CONSERVATION GENETICS,Article,59,0,2023,10.1007/s10592-023-01541-2,http://dx.doi.org/10.1007/s10592-023-01541-2,WOS:001023684600001
"Raatz, M; de Azevedo-Lopes, A; Drabik, K; Traulsen, A; Waclaw, B",Pathogen non-planktonic phases within the urinary tract impact early infection and resistance evolution,ISME JOURNAL,Article,43,0,2024,10.1093/ismejo/wrae191,http://dx.doi.org/10.1093/ismejo/wrae191,WOS:001340574400001
"Kopp, M; Nassar, E; Pardoux, E",Phenotypic lag and population extinction in the moving-optimum model: insights from a small-jumps limit,JOURNAL OF MATHEMATICAL BIOLOGY,Article,54,6,2018,10.1007/s00285-018-1258-2,http://dx.doi.org/10.1007/s00285-018-1258-2,WOS:000446715000007
"Tazzyman, SJ; Bonhoeffer, S",PLASMIDS AND EVOLUTIONARY RESCUE BY DRUG RESISTANCE,EVOLUTION,Article,44,20,2014,10.1111/evo.12423,http://dx.doi.org/10.1111/evo.12423,WOS:000339052000018
"Aguilée, R; Raoul, G; Rousset, F; Ronce, O",Pollen dispersal slows geographical range shift and accelerates ecological niche shift under climate change,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,Article,49,42,2016,10.1073/pnas.1607612113,http://dx.doi.org/10.1073/pnas.1607612113,WOS:000383954700007
"Orr, HA; Unckless, RL",Population extinction and the genetics of adaptation,AMERICAN NATURALIST,Article,35,213,2008,10.1086/589460,http://dx.doi.org/10.1086/589460,WOS:000257986200004
"Anciaux, Y; Lambert, A; Ronce, O; Roques, L; Martin, G",Population persistence under high mutation rate: From evolutionary rescue to lethal mutagenesis,EVOLUTION,Article,55,19,2019,10.1111/evo.13771,http://dx.doi.org/10.1111/evo.13771,WOS:000482092600002
"Xu, KY",Population Rescue through an Increase in the Selfing Rate under Pollen Limitation: Plasticity versus Evolution,AMERICAN NATURALIST,Article,61,1,2023,10.1086/725425,http://dx.doi.org/10.1086/725425,WOS:001022566100001
"Goldberg, Y; Friedman, J",Positive interactions within and between populations decrease the likelihood of evolutionary rescue,PLOS COMPUTATIONAL BIOLOGY,Article,64,9,2021,10.1371/journal.pcbi.1008732,http://dx.doi.org/10.1371/journal.pcbi.1008732,WOS:000620631500010
"Ashander, J; Chevin, LM; Baskett, ML",Predicting evolutionary rescue via evolving plasticity in stochastic environments,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Article,62,95,2016,10.1098/rspb.2016.1690,http://dx.doi.org/10.1098/rspb.2016.1690,WOS:000386489200020
"Bertram, J; Gomez, K; Masel, J",Predicting patterns of long-term adaptation and extinction with population genetics,EVOLUTION,Article,33,6,2017,10.1111/evo.13116,http://dx.doi.org/10.1111/evo.13116,WOS:000394985200001
"Ribeiro, RM; Bonhoeffer, S",Production of resistant HIV mutants during antiretroviral therapy,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,Article,37,161,2000,10.1073/pnas.97.14.7681,http://dx.doi.org/10.1073/pnas.97.14.7681,WOS:000088048400006
"Raatz, M; Traulsen, A",Promoting extinction or minimizing growth? The impact of treatment on trait trajectories in evolving populations,EVOLUTION,Article,80,5,2023,10.1093/evolut/qpad042,http://dx.doi.org/10.1093/evolut/qpad042,WOS:000976111900001
"GOLDIE, JH; COLDMAN, AJ; GUDAUSKAS, GA",RATIONALE FOR THE USE OF ALTERNATING NON-CROSS-RESISTANT CHEMOTHERAPY,CANCER TREATMENT REPORTS,Article,25,635,1982,WOS:A1982NE94800004,,WOS:A1982NE94800004
"Kouyos, RD; Fouchet, D; Bonhoeffer, S",Recombination and drug resistance in HIV: Population dynamics and stochasticity,EPIDEMICS,Article,32,20,2009,10.1016/j.epidem.2008.11.001,http://dx.doi.org/10.1016/j.epidem.2008.11.001,WOS:000208232800007
"Shang, YK; Kasada, M; Kondoh, M",Rescue or murder? The effect of prey adaptation to the predator subjected to fisheries,ECOLOGY AND EVOLUTION,Article,76,1,2024,10.1002/ece3.70336,http://dx.doi.org/10.1002/ece3.70336,WOS:001369914100001
"Marrec, L; Bitbol, AF",Resist or perish: Fate of a microbial population subjected to a periodic presence of antimicrobial,PLOS COMPUTATIONAL BIOLOGY,Article,74,37,2020,10.1371/journal.pcbi.1007798,http://dx.doi.org/10.1371/journal.pcbi.1007798,WOS:000531366700078
"Oliveira, VM; Campos, PRA",Resource-based modelling approach to studying evolutionary rescue,PHYSICAL REVIEW E,Article,28,3,2024,10.1103/PhysRevE.110.034406,http://dx.doi.org/10.1103/PhysRevE.110.034406,WOS:001318304700003
"Nyhoegen, C; Uecker, H",Sequential antibiotic therapy in the laboratory and in the patient,JOURNAL OF THE ROYAL SOCIETY INTERFACE,Article,57,15,2023,10.1098/rsif.2022.0793,http://dx.doi.org/10.1098/rsif.2022.0793,WOS:000906501400008
"Bonte, D; Hovestadt, T; Poethke, HJ",Sex-specific dispersal and evolutionary rescue in metapopulations infected by male killing endosymbionts,BMC EVOLUTIONARY BIOLOGY,Article,55,16,2009,10.1186/1471-2148-9-16,http://dx.doi.org/10.1186/1471-2148-9-16,WOS:000263055400002
"Hangartner, S; Sgrò, CM; Connallon, T; Booksmythe, I",Sexual dimorphism in phenotypic plasticity and persistence under environmental change: An extension of theory and meta-analysis of current data,ECOLOGY LETTERS,Review,95,22,2022,10.1111/ele.14005,http://dx.doi.org/10.1111/ele.14005,WOS:000772992100001
"Dekens, L","Sharp habitat shifts, evolutionary tipping points and rescue: Quantifying the perilous path of a specialist species towards a refugium in a changing environment",THEORETICAL POPULATION BIOLOGY,Article,62,1,2024,10.1016/j.tpb.2024.09.001,http://dx.doi.org/10.1016/j.tpb.2024.09.001,WOS:001338806000001
"Wilson, BA; Pennings, PS; Petrov, DA",Soft Selective Sweeps in Evolutionary Rescue,GENETICS,Article,34,31,2017,10.1534/genetics.116.191478,http://dx.doi.org/10.1534/genetics.116.191478,WOS:000401126600016
"Fruet, C; Müller, EL; Loverdo, C; Bitbol, AF",Spatial structure facilitates evolutionary rescue by drug resistance,PLOS COMPUTATIONAL BIOLOGY,Article,91,3,2025,10.1371/journal.pcbi.1012861,http://dx.doi.org/10.1371/journal.pcbi.1012861,WOS:001463166400001
"Polechová, J; Barton, N; Marion, G",Species' Range: Adaptation in Space and Time,AMERICAN NATURALIST,Article,52,95,2009,10.1086/605958,http://dx.doi.org/10.1086/605958,WOS:000271021900002
"Colijn, C; Cohen, T; Ganesh, A; Murray, M",Spontaneous Emergence of Multiple Drug Resistance in Tuberculosis before and during Therapy,PLOS ONE,Article,44,68,2011,10.1371/journal.pone.0018327,http://dx.doi.org/10.1371/journal.pone.0018327,WOS:000289055700047
"Gunnarsson, EB; Foo, J; Leder, K",Statistical inference of the rates of cell proliferation and phenotypic switching in cancer,JOURNAL OF THEORETICAL BIOLOGY,Article,55,9,2023,10.1016/j.jtbi.2023.111497,http://dx.doi.org/10.1016/j.jtbi.2023.111497,WOS:001009542200001
"Chevin, LM; Cotto, O; Ashander, J",Stochastic Evolutionary Demography under a Fluctuating Optimum Phenotype,AMERICAN NATURALIST,Article,75,40,2017,10.1086/694121,http://dx.doi.org/10.1086/694121,WOS:000415995200008
"Austin, DJ; Anderson, RM","Studies of antibiotic resistance within the patient, hospitals and the community using simple mathematical models",PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Article,57,141,1999,10.1098/rstb.1999.0425,http://dx.doi.org/10.1098/rstb.1999.0425,WOS:000080160200005
"Maslo, B; Gignoux-Wolfsohn, SA; Fefferman, NH",Success of Wildlife Disease Treatment Depends on Host Immune Response,FRONTIERS IN ECOLOGY AND EVOLUTION,Article,43,11,2017,10.3389/fevo.2017.00028,http://dx.doi.org/10.3389/fevo.2017.00028,WOS:000451560500001
"TAYLOR, CE; GEORGHIOU, GP",SUPPRESSION OF INSECTICIDE RESISTANCE BY ALTERATION OF GENE DOMINANCE AND MIGRATION,JOURNAL OF ECONOMIC ENTOMOLOGY,Article,15,137,1979,10.1093/jee/72.1.105,http://dx.doi.org/10.1093/jee/72.1.105,WOS:A1979GP21900034
"Trubenová, B; Krejca, MS; Lehre, PK; Kötzing, T",Surfing on the seascape: Adaptation in a changing environment,EVOLUTION,Article,75,16,2019,10.1111/evo.13784,http://dx.doi.org/10.1111/evo.13784,WOS:000474031600001
"Tanaka, MM; Wahl, LM",Surviving environmental change: when increasing population size can increase extinction risk,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,Article,29,9,2022,10.1098/rspb.2022.0439,http://dx.doi.org/10.1098/rspb.2022.0439,WOS:000806360700012
"Alejandre, C; Calle-Espinosa, J; Iranzo, J",Synergistic epistasis among cancer drivers can rescue early tumors from the accumulation of deleterious passengers,PLOS COMPUTATIONAL BIOLOGY,Article,65,1,2024,10.1371/journal.pcbi.1012081,http://dx.doi.org/10.1371/journal.pcbi.1012081,WOS:001251024000001
"Leidinger, L; Vedder, D; Cabral, JS",Temporal environmental variation may impose differential selection on both genomic and ecological traits,OIKOS,Article,120,9,2021,10.1111/oik.08172,http://dx.doi.org/10.1111/oik.08172,WOS:000647857800001
"Lambert, A; Achaz, G; Le Rouzic, A; Loison, L",The Baldwin Effect Reloaded: Intermediate Levels of Phenotypic Plasticity Favor Evolutionary Rescue,AMERICAN NATURALIST,Article,87,0,2025,10.1086/737198,http://dx.doi.org/10.1086/737198,WOS:001570676700001
"Thompson, PL; Fronhofer, EA",The conflict between adaptation and dispersal for maintaining biodiversity in changing environments,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,Article,55,70,2019,10.1073/pnas.1911796116,http://dx.doi.org/10.1073/pnas.1911796116,WOS:000490183000042
"Bukkuri, A; Pienta, KJ; Amend, SR; Austin, RH; Hammarlund, EU; Brown, JS",The contribution of evolvability to the eco-evolutionary dynamics of competing species,ECOLOGY AND EVOLUTION,Article,80,6,2023,10.1002/ece3.10591,http://dx.doi.org/10.1002/ece3.10591,WOS:001083750500001
"Abu Awad, D; Billiard, S",The double edged sword: The demographic consequences of the evolution of self-fertilization,EVOLUTION,Article,42,21,2017,10.1111/evo.13222,http://dx.doi.org/10.1111/evo.13222,WOS:000401256200005
"Katsuhara, KR; Tachiki, Y; Iritani, R; Ushimaru, A",The eco-evolutionary dynamics of prior selfing rates promote coexistence without niche partitioning under conditions of reproductive interference,JOURNAL OF ECOLOGY,Article,66,8,2021,10.1111/1365-2745.13768,http://dx.doi.org/10.1111/1365-2745.13768,WOS:000696397800001
"Alfaro, M; Berestycki, H; Raoul, G","THE EFFECT OF CLIMATE SHIFT ON A SPECIES SUBMITTED TO DISPERSION, EVOLUTION, GROWTH AND NONLOCAL COMPETITION",SIAM JOURNAL ON MATHEMATICAL ANALYSIS,Article,32,59,2017,10.1137/16M1075934,http://dx.doi.org/10.1137/16M1075934,WOS:000396681800019
"Czuppon, P; Blanquart, F; Uecker, H; Débarre, F",The Effect of Habitat Choice on Evolutionary Rescue in Subdivided Populations,AMERICAN NATURALIST,Article,82,12,2021,10.1086/714034,http://dx.doi.org/10.1086/714034,WOS:000640009200001
"Xu, KY",The effects of selfing on multi-step adaptation,EVOLUTION,Article,65,0,2023,10.1093/evolut/qpac029,http://dx.doi.org/10.1093/evolut/qpac029,WOS:001021687300012
"Svara, F; Rankin, DJ",The evolution of plasmid-carried antibiotic resistance,BMC EVOLUTIONARY BIOLOGY,Article,61,85,2011,10.1186/1471-2148-11-130,http://dx.doi.org/10.1186/1471-2148-11-130,WOS:000291726600001
"Fogarty, L; Kandler, A",The fundamentals of cultural adaptation: implications for human adaptation,SCIENTIFIC REPORTS,Article,34,17,2020,10.1038/s41598-020-70475-3,http://dx.doi.org/10.1038/s41598-020-70475-3,WOS:000570035500065
"Kardos, M; Luikart, G",The Genetic Architecture of Fitness Drives Population Viability during Rapid Environmental Change,AMERICAN NATURALIST,Article,47,34,2021,10.1086/713469,http://dx.doi.org/10.1086/713469,WOS:000631203600002
"Xu, KY",The genetic basis of selfing rate evolution,EVOLUTION,Article,62,4,2022,10.1111/evo.14480,http://dx.doi.org/10.1111/evo.14480,WOS:000782881500001
"Scheiner, SM; Barfield, M; Holt, RD","The genetics of phenotypic plasticity. XV. Genetic assimilation, the Baldwin effect, and evolutionary rescue",ECOLOGY AND EVOLUTION,Article,47,50,2017,10.1002/ece3.3429,http://dx.doi.org/10.1002/ece3.3429,WOS:000414873600012
"Scheiner, SM; Barfield, M; Holt, RD",The genetics of phenotypic plasticity. XVII. Response to climate change,EVOLUTIONARY APPLICATIONS,Article,40,59,2020,10.1111/eva.12876,http://dx.doi.org/10.1111/eva.12876,WOS:000508668100011
"Khare, SB; Holt, RD; Scheiner, SM",The genetics of phenotypic plasticity. XVIII. Developmental limits restrict adaptive plasticity,EVOLUTION,Article,65,2,2024,10.1093/evolut/qpae115,http://dx.doi.org/10.1093/evolut/qpae115,WOS:001292216600001
"Jiao, J; Gilchrist, MA; Fefferman, NH",The impact of host metapopulation structure on short-term evolutionary rescue in the face of a novel pathogenic threat,GLOBAL ECOLOGY AND CONSERVATION,Article,72,9,2020,10.1016/j.gecco.2020.e01174,http://dx.doi.org/10.1016/j.gecco.2020.e01174,WOS:000568729100019
