,Community,Title,Authors,Year
2,1,Evolution of genetic variability and the advantage of sex and recombination in changing environments,"Bürger, R",1999.0
15,1,Evolutionary dynamics as a component of stage-structured matrix models:: An example using Trillium grandiflorum,"Knight, TM; Barfield, M; Holt, RD",2008.0
17,1,"TO AGE, TO DIE: PARITY, EVOLUTIONARY TRACKING AND COLE'S PARADOX","Zeineddine, M; Jansen, VAA",2009.0
18,1,Species' Range: Adaptation in Space and Time,"Polechová, J; Barton, N; Marion, G",2009.0
19,1,Demographic and Genetic Constraints on Evolution,"Gomulkiewicz, R; Houle, D",2009.0
20,1,"Genetics, adaptation, and invasion in harsh environments","Gomulkiewicz, R; Holt, RD; Barfield, M; Nuismer, SL",2010.0
22,1,Increased mortality can promote evolutionary adaptation of forest trees to climate change,"Kuparinen, A; Savolainen, O; Schurr, FM",2010.0
23,1,WHEN DO ADAPTIVE PLASTICITY AND GENETIC EVOLUTION PREVENT EXTINCTION OF A DENSITY-REGULATED POPULATION?,"Chevin, LM; Lande, R",2010.0
24,1,"Adaptation, Plasticity, and Extinction in a Changing Environment: Towards a Predictive Theory","Chevin, LM; Lande, R; Mace, GM",2010.0
27,1,Evolution in Stage-Structured Populations,"Barfield, M; Holt, RD; Gomulkiewicz, R",2011.0
28,1,Introgressive hybridization as a mechanism for species rescue,"Baskett, ML; Gomulkiewicz, R",2011.0
33,1,How do genetic correlations affect species range shifts in a changing environment?,"Duputié, A; Massol, F; Chuine, I; Kirkpatrick, M; Ronce, O",2012.0
44,1,GENETIC CONSTRAINTS ON ADAPTATION TO A CHANGING ENVIRONMENT,"Chevin, LM",2013.0
51,1,"Between migration load and evolutionary rescue: dispersal, adaptation and the response of spatially structured populations to environmental change","Bourne, EC; Bocedi, G; Travis, JMJ; Pakeman, RJ; Brooker, RW; Schiffers, K",2014.0
55,1,MALADAPTATION AS A SOURCE OF SENESCENCE IN HABITATS VARIABLE IN SPACE AND TIME,"Cotto, O; Ronce, O",2014.0
56,1,FISHER'S GEOMETRIC MODEL WITH A MOVING OPTIMUM,"Matuszewski, S; Hermisson, J; Kopp, M",2014.0
57,1,Density dependence and microevolution interactively determine effects of phenology mismatch on population dynamics,"Reed, TE; Gienapp, P; Visser, ME",2015.0
61,1,Catch Me if You Can: Adaptation from Standing Genetic Variation to a Moving Phenotypic Optimum,"Matuszewski, S; Hermisson, J; Kopp, M",2015.0
67,1,Pollen dispersal slows geographical range shift and accelerates ecological niche shift under climate change,"Aguilée, R; Raoul, G; Rousset, F; Ronce, O",2016.0
68,1,Predicting evolutionary rescue via evolving plasticity in stochastic environments,"Ashander, J; Chevin, LM; Baskett, ML",2016.0
69,1,"Global change, life-history complexity and the potential for evolutionary rescue","Marshall, DJ; Burgess, SC; Connallon, T",2016.0
71,1,Evolutionary rescue in novel environments: towards improving predictability,"Barfield, M; Holt, RD",2016.0
72,1,Predicting patterns of long-term adaptation and extinction with population genetics,"Bertram, J; Gomez, K; Masel, J",2017.0
73,1,"THE EFFECT OF CLIMATE SHIFT ON A SPECIES SUBMITTED TO DISPERSION, EVOLUTION, GROWTH AND NONLOCAL COMPETITION","Alfaro, M; Berestycki, H; Raoul, G",2017.0
77,1,A dynamic eco-evolutionary model predicts slow response of alpine plants to climate warming,"Cotto, O; Wessely, J; Georges, D; Klonner, G; Schmid, M; Dullinger, S; Thuiller, W; Guillaume, F",2017.0
81,1,Extinction Risk and Lack of Evolutionary Rescue under Resource Depletion or Area Reduction,"Engen, S; Sæther, BE",2017.0
86,1,Effects of Clonal Reproduction on Evolutionary Lag and Evolutionary Rescue,"Orive, ME; Barfield, M; Fernandez, C; Holt, RD",2017.0
88,1,"The genetics of phenotypic plasticity. XV. Genetic assimilation, the Baldwin effect, and evolutionary rescue","Scheiner, SM; Barfield, M; Holt, RD",2017.0
89,1,Stochastic Evolutionary Demography under a Fluctuating Optimum Phenotype,"Chevin, LM; Cotto, O; Ashander, J",2017.0
90,1,An evolutionary tipping point in a changing environment,"Osmond, MM; Klausmeier, CA",2017.0
98,1,Phenotypic lag and population extinction in the moving-optimum model: insights from a small-jumps limit,"Kopp, M; Nassar, E; Pardoux, E",2018.0
105,1,Surfing on the seascape: Adaptation in a changing environment,"Trubenová, B; Krejca, MS; Lehre, PK; Kötzing, T",2019.0
106,1,Optimal investment to enable evolutionary rescue,"Ashander, J; Thompson, LC; Sanchirico, JN; Baskett, ML",2019.0
109,1,Implications of existing local (mal)adaptations for ecological forecasting under environmental change,"Walters, RJ; Berger, D",2019.0
112,1,Maladaptive Shifts in Life History in a Changing Environment*,"Cotto, O; Sandell, L; Chevin, LM; Ronce, O",2019.0
116,1,Evolutionary Rescue in a Linearly Changing Environment: Limits on Predictability,"Orive, ME; Holt, RD; Barfield, M",2019.0
118,1,The genetics of phenotypic plasticity. XVII. Response to climate change,"Scheiner, SM; Barfield, M; Holt, RD",2020.0
132,1,Environmental fluctuations can promote evolutionary rescue in high-extinction-risk scenarios,"Peniston, JH; Barfield, M; Gonzalez, A; Holt, RD",2020.0
140,1,The Genetic Architecture of Fitness Drives Population Viability during Rapid Environmental Change,"Kardos, M; Luikart, G",2021.0
141,1,Environmental fluctuations dampen the effects of clonal reproduction on evolutionary rescue,"Peniston, JH; Barfield, M; Holt, RD; Orive, ME",2021.0
145,1,Is Evolution in Response to Extreme Events Good for Population Persistence?,"Lyberger, KP; Osmond, MM; Schreiber, SJ",2021.0
154,1,Avoiding extinction under nonlinear environmental change: models of evolutionary rescue with plasticity,"Greenspoon, PB; Spencer, HG",2021.0
157,1,Sexual dimorphism in phenotypic plasticity and persistence under environmental change: An extension of theory and meta-analysis of current data,"Hangartner, S; Sgrò, CM; Connallon, T; Booksmythe, I",2022.0
160,1,A Trade-Off between Robustness to Environmental Fluctuations and Speed of Evolution,"Schmid, M; Paniw, M; Postuma, M; Ozgul, A; Guillaume, F",2022.0
171,1,Evolutionary History Mediates Population Response to Rapid Environmental Change through Within-Generational and Transgenerational Plasticity,"Clement, DT; Neylan, IP; Roberts, NJ; Schreiber, SJ; Trimmer, PC; Sih, A",2023.0
175,1,Adaptation of a quantitative trait to a changing environment: New analytical insights on the asexual and infinitesimal sexual models,"Garnier, J; Cotto, O; Bouin, E; Bourgeron, T; Lepoutre, T; Ronce, O; Calvez, V",2023.0
180,1,Evolutionary rescue from climate change: male indirect genetic effects on lay-dates and their consequences for population persistence,"Murray, M; Wright, J; Araya-Ajoy, YG",2024.0
191,1,Evolutionary rescue under demographic and environmental stochasticity,"Xu, KY; Vision, TJ; Servedio, MR",2023.0
195,1,Demographic feedbacks during evolutionary rescue can slow or speed adaptive evolution,"Draghi, JA; McGlothlin, JW; Kindsvater, HK",2024.0
196,1,"How density dependence, genetic erosion and the extinction vortex impact evolutionary rescue","Nordstrom, SW; Hufbauer, RA; Olazcuaga, L; Durkee, LF; Melbourne, BA",2023.0
197,1,Alternative reproductive tactics and evolutionary rescue,"Knell, RJ; Parrett, JM",2024.0
199,1,Effect of the Seed Bank on Evolutionary Rescue in Small Populations: Univariate and Multivariate Demogenetic Dynamics,"Godineau, C; Theodorou, K; Spigler, RB",2024.0
204,1,The genetics of phenotypic plasticity. XVIII. Developmental limits restrict adaptive plasticity,"Khare, SB; Holt, RD; Scheiner, SM",2024.0
206,1,"Sharp habitat shifts, evolutionary tipping points and rescue: Quantifying the perilous path of a specialist species towards a refugium in a changing environment","Dekens, L",2024.0
220,1,The Baldwin Effect Reloaded: Intermediate Levels of Phenotypic Plasticity Favor Evolutionary Rescue,"Lambert, A; Achaz, G; Le Rouzic, A; Loison, L",2025.0
224,1,"Impacts of Epistasis, Recombination, and Genome Architecture on Population Recovery following Radical Habitat Change","Wirtz, J; Lee, CE; Chevin, LM",2026.0
226,1,Do alternative reproductive tactics facilitate evolutionary rescue? A comment on Knell & Parrett 2024,"Riederer, JM; Weissing, FJ",2026.0
229,1,Longevity Hinders Evolutionary Rescue through Slower Growth but Not Necessarily Slower Adaptation,"Nordstrom, SW; Melbourne, BA",2026.0
234,1,Evolution of species' range and niche in changing environments,"Polechová, J",2026.0
